candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
626,1657,trans_M2,001322,1,0,3,3,0.8074,0.3425637239967512,0.8074
627,2853,trans_M3,001717,3,1,9,3,0.805048,0.6371548243392854,0.805048
628,968,trans_M1,001945,2,1,10,4,0.80423908,0.5503075547021105,0.80423908
629,2968,trans_M3,001958,2,1,9,4,0.8042326800000001,0.7294287015858469,0.8042326800000001
630,2809,trans_M3,001626,1,1,8,6,0.801,0.2824486584510342,0.801
631,1972,trans_M2,001957,2,1,8,4,0.7997793599999999,0.5510750909241195,0.7997793599999999
632,1919,trans_M2,001842,1,2,7,4,0.7996,0.48190497492683826,0.7996
633,204,trans_M1,000419,6,0,6,1,0.79855072,1.167409117621316,0.79855072
634,417,trans_M1,000835,5,4,17,8,0.797804,1.2973736589967988,0.797804
635,1307,trans_M2,000632,6,0,20,0,0.7967679200000001,1.0392254612708058,0.7967679200000001
636,883,trans_M1,001765,3,2,9,4,0.79649804,0.9057353175799544,0.79649804
637,1511,trans_M2,001022,1,0,10,11,0.796,0.29112986715909117,0.796
638,2812,trans_M3,001635,1,1,8,6,0.7958,0.2836926433327463,0.7958
639,2235,trans_M3,000492,1,1,10,7,0.7954816800000001,0.32326322748311864,0.7954816800000001
640,856,trans_M1,001704,2,1,10,3,0.7951387999999999,0.44839515120435774,0.7951387999999999
641,1710,trans_M2,001418,3,0,5,15,0.7948046,1.0924080883240996,0.7948046
642,342,trans_M1,000681,5,0,18,1,0.79344864,0.8951924444886038,0.79344864
643,1370,trans_M2,000747,5,0,15,2,0.7927776,1.0589409488921266,0.7927776
644,1712,trans_M2,001420,5,0,7,15,0.7922502399999999,0.8855053724603092,0.7922502399999999
645,1742,trans_M2,001484,1,2,3,14,0.7898,1.1977290283535413,0.7898
646,746,trans_M1,001484,1,2,3,14,0.7888,1.1158189342823728,0.7888
647,862,trans_M1,001717,3,1,10,3,0.7870898,0.6371548243392855,0.7870898
648,846,trans_M1,001684,1,3,9,4,0.7866,0.6365198870190084,0.7866
649,2959,trans_M3,001945,2,1,9,4,0.7861134,0.5503075547021105,0.7861134
650,1462,trans_M2,000933,1,2,3,7,0.78463392,0.7502282536235833,0.78463392
651,1442,trans_M2,000887,1,0,1,2,0.783,0.14434999442603055,0.783
652,1986,trans_M2,001980,3,0,10,4,0.7828175999999999,0.45034840960399225,0.7828175999999999
653,1946,trans_M2,001901,3,2,9,5,0.7826540399999999,0.8495017928793984,0.7826540399999999
654,302,trans_M1,000612,4,0,19,0,0.78216412,0.6951087125591153,0.78216412
655,2811,trans_M3,001633,1,3,8,5,0.7818,0.8314133411762292,0.7818
656,1793,trans_M2,001588,2,1,3,12,0.7794,0.8493150559742202,0.7794
657,10,trans_M1,000026,1,1,1,2,0.7782,0.22462980951210618,0.7782
658,2652,trans_M3,001322,1,0,3,2,0.7778,0.3425637239967512,0.7778
659,1335,trans_M2,000673,7,1,19,2,0.77778336,1.1469023649305157,0.77778336
660,1508,trans_M2,001019,1,0,11,12,0.7758,0.6224855836802194,0.7758
661,1726,trans_M2,001455,3,0,11,14,0.77579884,0.3927818690955693,0.77579884
662,2206,trans_M3,000440,2,1,5,2,0.7744,0.42109398586999647,0.7744
663,2840,trans_M3,001690,1,2,7,4,0.7744,0.48197534823346977,0.7744
664,969,trans_M1,001946,2,1,9,4,0.77433508,0.550536164080913,0.77433508
665,373,trans_M1,000746,4,0,16,2,0.7735140800000001,0.9867202045753045,0.7735140800000001
666,1235,trans_M2,000488,2,2,5,2,0.7734690399999999,0.6707295043841535,0.7734690399999999
667,2307,trans_M3,000636,6,0,18,2,0.7718156,0.7334423279336176,0.7718156
668,932,trans_M1,001858,2,1,8,4,0.7712513599999999,0.5520672832300304,0.7712513599999999
669,1192,trans_M2,000400,1,0,3,1,0.7712,0.24603546694787584,0.7712
670,1424,trans_M2,000856,2,2,4,4,0.7699733599999999,0.49712828909369855,0.7699733599999999
671,319,trans_M1,000645,6,0,18,0,0.76948228,0.7879692417432975,0.76948228
672,2663,trans_M3,001338,1,0,4,1,0.7690586399999999,0.1553958208772515,0.7690586399999999
673,2933,trans_M3,001886,3,2,7,4,0.768,0.8346449089162313,0.768
674,1537,trans_M2,001080,2,5,7,12,0.7674000000000001,1.3663173652525058,0.7674000000000001
675,2855,trans_M3,001725,3,2,10,5,0.7668269600000001,0.9304524420862631,0.7668269600000001
676,2670,trans_M3,001350,3,2,11,3,0.7666228800000001,0.7623698903482592,0.7666228800000001
677,2213,trans_M3,000456,3,0,6,4,0.7664379200000001,1.104024969493384,0.7664379200000001
678,2804,trans_M3,001619,1,2,9,3,0.7664,0.48216033146340553,0.7664
679,498,trans_M1,000989,2,4,10,19,0.7652200400000001,2.0842967842397178,0.7652200400000001
680,1932,trans_M2,001872,3,2,9,4,0.7649904000000001,0.8977264430904291,0.7649904000000001
681,2491,trans_M3,000991,2,4,9,18,0.7628848800000001,2.012537961916307,0.7628848800000001
682,665,trans_M1,001326,1,0,6,2,0.7608,0.3787749695065383,0.7608
683,2458,trans_M3,000933,1,2,2,7,0.7594,0.7502282536235836,0.7594
684,679,trans_M1,001350,3,2,13,4,0.75910156,0.7623698903482592,0.75910156
685,745,trans_M1,001483,2,1,3,14,0.7584659199999999,0.7161233023119048,0.7584659199999999
686,1239,trans_M2,000492,1,1,8,8,0.758,0.3232632274831188,0.758
687,957,trans_M1,001916,2,1,8,4,0.75674288,0.551977144829079,0.75674288
688,2958,trans_M3,001940,1,0,5,0,0.7544,0.18021104778417124,0.7544
689,1744,trans_M2,001489,2,1,2,15,0.7534000000000001,0.8553017863573804,0.7534000000000001
690,948,trans_M1,001897,2,1,9,4,0.75289984,0.5520060799386501,0.75289984
691,466,trans_M1,000933,1,0,3,5,0.7521811199999999,0.18554151974525204,0.7521811199999999
692,1233,trans_M2,000485,2,1,11,6,0.7520110399999999,0.6999504314734413,0.7520110399999999
693,243,trans_M1,000492,1,1,11,8,0.7505416,0.32326322748311864,0.7505416
694,661,trans_M1,001322,1,0,3,2,0.7494,0.3425637239967512,0.7494
695,1682,trans_M2,001366,2,0,8,3,0.7476708799999998,0.323998383682459,0.7476708799999998
696,1515,trans_M2,001034,2,0,9,9,0.7468,0.8295574307578779,0.7468
697,519,trans_M1,001034,2,0,13,10,0.7466,0.8295574307578779,0.7466
698,536,trans_M1,001073,2,5,5,15,0.7454000000000001,1.8733961932446306,0.7454000000000001
699,867,trans_M1,001729,3,1,9,5,0.7438532,0.6370530874905688,0.7438532
700,2976,trans_M3,001973,2,1,6,4,0.74300688,0.5509009797650818,0.74300688
701,1820,trans_M2,001640,2,2,10,5,0.74042548,0.7206626610114677,0.74042548
702,2337,trans_M3,000684,4,0,18,2,0.73893908,1.020073492064503,0.73893908
703,2237,trans_M3,000495,4,3,9,12,0.73821524,0.934256198205359,0.73821524
704,367,trans_M1,000732,5,0,17,1,0.73689364,0.7291638142029563,0.73689364
705,1732,trans_M2,001469,2,2,3,13,0.73420416,1.1980369617568387,0.73420416
706,1623,trans_M2,001259,1,1,1,1,0.7338,0.5916672084179033,0.7338
707,2710,trans_M3,001425,2,0,3,16,0.7321086400000001,0.7310408693025534,0.7321086400000001
708,1532,trans_M2,001073,2,4,5,14,0.7302,1.6783829483878994,0.7302
709,371,trans_M1,000744,4,0,18,2,0.72965688,0.9044446418737051,0.72965688
710,810,trans_M1,001614,2,2,3,15,0.728,1.0090364298344978,0.728
711,362,trans_M1,000725,5,0,17,1,0.72790772,0.7286356045644127,0.72790772
712,2656,trans_M3,001326,1,0,4,2,0.7276,0.3787749695065383,0.7276
713,2532,trans_M3,001079,1,4,4,13,0.7274,1.260438977460732,0.7274
714,1921,trans_M2,001845,2,1,9,4,0.72564104,0.5520154536793163,0.72564104
715,2509,trans_M3,001029,1,0,12,11,0.7242,0.4773173260764829,0.7242
716,2348,trans_M3,000715,5,0,18,0,0.723396,0.7689966779778226,0.723396
717,1828,trans_M2,001651,1,0,8,6,0.723,0.08489162229586646,0.723
718,1343,trans_M2,000688,5,0,15,1,0.72171728,0.8284959484616015,0.72171728
719,364,trans_M1,000728,5,0,19,1,0.7215505999999999,0.729353542454231,0.7215505999999999
720,748,trans_M1,001489,2,1,3,15,0.7214,0.8553017863573804,0.7214
721,753,trans_M1,001499,2,0,3,14,0.7213999999999999,0.3796114908570096,0.7213999999999999
