candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
486,2304,trans_M3,000633,3,0,13,0,0.9766738,0.8121812542295824,0.8944275271147912
487,1479,trans_M2,000961,1,5,4,9,0.5602,1.2272485552737626,0.8937242776368813
488,849,trans_M1,001690,2,2,9,4,1.1157952,0.6708385100845509,0.8933168550422754
489,2872,trans_M3,001761,2,2,7,4,1.1150082000000001,0.6706357432764378,0.892821971638219
490,1816,trans_M2,001633,2,2,8,5,0.98630464,0.7965815695711416,0.8914431047855708
491,2237,trans_M3,000495,4,3,9,12,0.73821524,1.0400508434683327,0.8891330417341663
492,359,trans_M1,000721,6,0,18,2,0.83804864,0.9388890010051132,0.8884688205025566
493,2815,trans_M3,001640,2,2,7,4,1.12963552,0.6462859568091537,0.8879607384045768
494,2367,trans_M3,000749,2,0,13,2,0.6744,1.0983186534845562,0.886359326742278
495,261,trans_M1,000534,0,6,0,7,0.0,1.7704628786937926,0.8852314393468963
496,2843,trans_M3,001698,3,0,8,3,1.3314705199999999,0.43706959952688196,0.884270059763441
497,1304,trans_M2,000626,5,0,17,0,0.99701744,0.7714377800609056,0.8842276100304528
498,909,trans_M1,001811,2,1,9,4,1.31324112,0.4483730108470861,0.880807065423543
499,373,trans_M1,000746,4,0,16,2,0.7735140800000001,0.9867202045753045,0.8801171422876524
500,366,trans_M1,000731,6,0,17,1,0.9059587999999998,0.8534273788848254,0.8796930894424126
501,2337,trans_M3,000684,4,0,18,2,0.73893908,1.020073492064503,0.8795062860322514
502,2827,trans_M3,001659,3,1,12,5,1.2218512,0.5361958878222761,0.879023543911138
503,1356,trans_M2,000722,5,0,17,2,0.92121884,0.8355976753113603,0.8784082576556802
504,839,trans_M1,001669,2,1,8,5,1.3063626,0.4487242274004947,0.8775434137002474
505,483,trans_M1,000961,1,5,5,10,0.5268,1.2272485552737633,0.8770242776368817
506,2977,trans_M3,001975,3,1,10,4,1.06323112,0.6883629746800117,0.8757970473400059
507,2727,trans_M3,001469,1,2,2,13,0.6352458,1.1161753877563085,0.8757105938781542
508,251,trans_M1,000508,3,5,7,15,0.32810284,1.4185652766187293,0.8733340583093647
509,518,trans_M1,001031,3,1,11,10,1.080925,0.6644564509348456,0.8726907254674228
510,2207,trans_M3,000444,5,0,8,2,1.09095004,0.6535696644041548,0.8722598522020775
511,1745,trans_M2,001490,1,2,4,15,0.6744,1.0683927194885565,0.8713963597442782
512,1822,trans_M2,001642,2,2,9,5,1.0927962,0.6463177090266305,0.8695569545133153
513,810,trans_M1,001614,2,2,3,15,0.728,1.0090364298344978,0.8685182149172489
514,2983,trans_M3,001984,2,3,6,5,0.71918756,1.0166993937561188,0.8679434768780594
515,1299,trans_M2,000617,5,1,18,2,0.86553928,0.8702911622339436,0.8679152211169718
516,2962,trans_M3,001948,2,2,9,4,0.9019480799999999,0.8331002097562505,0.8675241448781252
517,2200,trans_M3,000427,5,0,5,1,1.04943948,0.6850197457999591,0.8672296128999795
518,1492,trans_M2,000987,2,5,7,18,0.243971,1.489839722356532,0.866905361178266
519,2229,trans_M3,000485,2,2,11,6,0.81737956,0.9161847420083814,0.8667821510041906
520,1831,trans_M2,001657,2,1,8,5,1.1177759999999999,0.6122391341374753,0.8650075670687376
521,802,trans_M1,001599,2,2,3,14,0.7190000000000001,1.0093658005863473,0.8641829002931737
522,2885,trans_M3,001781,2,1,10,4,1.1056406,0.6215000750877522,0.8635703375438761
523,2485,trans_M3,000981,1,3,4,11,0.014827999999999997,1.7122631580632204,0.8635455790316102
524,1318,trans_M2,000652,6,0,16,0,0.6657460399999999,1.0609800621927048,0.8633630510963524
525,527,trans_M1,001058,0,3,4,11,0.0,1.72669981076965,0.863349905384825
526,2666,trans_M3,001342,2,2,12,5,0.91524356,0.8079365608043516,0.8615900604021758
527,2528,trans_M3,001073,1,4,4,14,0.1004,1.6225549667133032,0.8614774833566516
528,1523,trans_M2,001058,0,3,3,11,0.0,1.719444355942051,0.8597221779710255
529,2493,trans_M3,000994,4,1,13,16,0.71694824,1.002266593082152,0.859607416541076
530,2195,trans_M3,000413,3,1,4,2,0.8718,0.8413800556635971,0.8565900278317986
531,798,trans_M1,001589,2,2,2,13,0.7024,1.0107645995024344,0.8565822997512171
532,213,trans_M1,000438,3,0,5,2,1.5116420799999999,0.20103667475540676,0.8563393773777033
533,2910,trans_M3,001837,2,1,6,4,1.2381263200000001,0.4729972804201557,0.8555618002100779
534,1810,trans_M2,001620,2,1,7,3,1.37011712,0.3394379983148176,0.8547775591574087
535,535,trans_M1,001070,1,5,7,14,0.00852,1.6984467855657464,0.8534833927828732
536,883,trans_M1,001765,3,2,9,4,0.79649804,0.9057353175799544,0.8511166787899772
537,974,trans_M1,001952,2,2,9,4,0.95252268,0.7484531885987715,0.8504879342993857
538,751,trans_M1,001497,2,1,7,14,0.99944224,0.7011183027350243,0.8502802713675122
539,2855,trans_M3,001725,3,2,10,5,0.7668269600000001,0.9304524420862631,0.8486397010431316
540,1520,trans_M2,001053,0,3,4,11,0.0,1.6946826330679805,0.8473413165339903
541,888,trans_M1,001771,2,0,8,4,1.26487584,0.42797655396730877,0.8464261969836544
542,1392,trans_M2,000797,3,0,10,3,0.860525,0.8294018945455687,0.8449634472727843
543,342,trans_M1,000681,5,0,18,1,0.79344864,0.8951924444886038,0.8443205422443019
544,1404,trans_M2,000820,2,2,13,3,0.0198,1.6675265661531253,0.8436632830765627
545,829,trans_M1,001647,2,1,8,6,1.06476784,0.6216453296334715,0.8432065848167358
546,2409,trans_M3,000835,5,3,15,7,0.7158588399999999,0.9696298043355744,0.8427443221677872
547,2488,trans_M3,000987,2,5,9,18,0.19452935999999998,1.4898397223565325,0.8421845411782662
548,360,trans_M1,000722,5,0,17,2,0.84772472,0.8355976753113603,0.8416611976556801
549,1825,trans_M2,001647,2,1,11,6,1.0616492,0.6216453296334715,0.8416472648167357
550,637,trans_M1,001276,3,0,3,1,1.23483172,0.44754659450004763,0.8411891572500239
551,1533,trans_M2,001075,1,5,5,14,0.1842,1.4981258753696238,0.8411629376848119
552,806,trans_M1,001607,2,2,3,14,0.6719999999999999,1.0097063567237612,0.8408531783618806
553,208,trans_M1,000427,5,0,5,1,0.99537008,0.6850197457999591,0.8401949128999795
554,334,trans_M1,000666,6,0,18,0,0.62872632,1.0513448808926233,0.8400356004463116
555,1333,trans_M2,000671,5,1,18,1,0.6447790800000001,1.0337452751869547,0.8392621775934774
556,2319,trans_M3,000659,6,0,16,0,0.5198736,1.1579745332098386,0.8389240666049194
557,1712,trans_M2,001420,5,0,7,15,0.7922502399999999,0.8855053724603092,0.8388778062301545
558,395,trans_M1,000796,3,0,12,4,0.816637,0.8597479232633048,0.8381924616316524
559,2489,trans_M3,000988,1,5,8,21,0.3184,1.3568209687793606,0.8376104843896803
560,1843,trans_M2,001685,2,1,9,4,1.22473396,0.4485471555336603,0.8366405577668301
561,2917,trans_M3,001846,2,1,8,4,1.19769732,0.47085777385199606,0.8342775469259981
562,2753,trans_M3,001521,1,3,2,13,0.1924,1.4736966574518817,0.8330483287259408
563,935,trans_M1,001868,2,1,8,4,1.1926942,0.47306082433545604,0.8328775121677281
564,2881,trans_M3,001774,2,1,8,4,1.214396,0.4484467908806592,0.8314213954403296
565,1932,trans_M2,001872,3,2,9,4,0.7649904000000001,0.8977264430904291,0.8313584215452146
566,2847,trans_M3,001704,3,1,8,4,1.0233248,0.6369225664068514,0.8301236832034257
567,537,trans_M1,001075,2,5,6,14,0.1598,1.4981258753696238,0.8289629376848119
568,404,trans_M1,000814,2,2,12,6,0.42851216000000003,1.2263817964296324,0.8274469782148162
569,716,trans_M1,001420,5,0,6,15,0.67785328,0.9732527994913831,0.8255530397456916
570,1890,trans_M2,001781,2,1,9,4,1.071,0.5796968472471014,0.8253484236235507
571,1399,trans_M2,000813,3,1,13,4,0.44818300000000005,1.2025122467920837,0.8253476233960418
572,2985,trans_M3,001991,2,3,8,5,0.6356472,1.01390193727903,0.824774568639515
573,1295,trans_M2,000605,5,0,17,1,0.9280266,0.7212857486598258,0.8246561743299129
574,1824,trans_M2,001646,2,1,8,5,1.20019872,0.4488174753169145,0.8245080976584572
575,2388,trans_M3,000797,3,0,12,4,0.8187659199999999,0.8294018945455687,0.8240839072727844
576,817,trans_M1,001623,2,1,11,5,1.19749704,0.4485679413510649,0.8230324906755324
577,2535,trans_M3,001082,0,3,4,10,0.0,1.6458952087252807,0.8229476043626404
578,845,trans_M1,001681,2,1,11,4,1.1978727999999998,0.4478629052860453,0.8228678526430225
579,2332,trans_M3,000677,6,0,19,0,0.66248524,0.9831676953693183,0.8228264676846591
580,250,trans_M1,000506,0,5,3,15,0.0,1.6454779544820075,0.8227389772410038
581,402,trans_M1,000812,1,2,11,3,0.47,1.1743678239139612,0.8221839119569806
582,1860,trans_M2,001725,3,2,9,4,0.7135411600000001,0.9304524420862631,0.8219968010431316
583,857,trans_M1,001705,3,1,10,3,1.00866296,0.6346507418403318,0.8216568509201659
584,2738,trans_M3,001485,1,1,2,14,0.8684,0.7737858893121523,0.8210929446560762
585,1497,trans_M2,000994,4,1,12,16,0.32257375999999993,1.318341193352349,0.8204574766761745
586,2208,trans_M3,000445,5,0,9,2,0.96720616,0.6728916614697514,0.8200489107348757
587,815,trans_M1,001621,2,1,10,4,1.18861264,0.44855289964186007,0.81858276982093
588,247,trans_M1,000503,2,4,5,14,0.21558312,1.4213566969600764,0.8184699084800382
589,840,trans_M1,001673,2,1,10,4,1.18783744,0.44897596695028097,0.8184067034751406
590,2241,trans_M3,000505,1,5,5,14,0.027317640000000004,1.6092193220634088,0.8182684810317044
591,398,trans_M1,000804,2,1,11,4,0.941,0.6935933208050578,0.8172966604025289
592,371,trans_M1,000744,4,0,18,2,0.72965688,0.9044446418737051,0.8170507609368525
593,216,trans_M1,000445,5,0,9,2,0.9608038400000001,0.6728916614697518,0.8168477507348759
594,299,trans_M1,000605,5,0,18,1,0.9123719600000002,0.7212857486598258,0.8168288543299129
595,2364,trans_M3,000745,4,2,15,2,0.37021827999999996,1.2628133029475928,0.8165157914737964
596,1946,trans_M2,001901,3,2,9,5,0.7826540399999999,0.8495017928793984,0.8160779164396992
597,1298,trans_M2,000612,4,0,19,0,0.9368695200000001,0.6950499075215396,0.8159597137607699
598,2357,trans_M3,000729,6,0,17,0,0.60231516,1.0295369494637068,0.8159260547318534
599,217,trans_M1,000447,4,1,9,3,0.98080808,0.6500920124705093,0.8154500462352546
600,1793,trans_M2,001588,2,1,3,12,0.7794,0.8493150559742202,0.81435752798711
601,1857,trans_M2,001716,3,1,10,3,0.8881156799999999,0.7401878192335176,0.8141517496167587
602,1926,trans_M2,001852,2,2,7,3,0.8788310400000001,0.7494128237541543,0.8141219318770772
603,847,trans_M1,001685,2,1,9,4,1.17688,0.44854715553365987,0.81271357776683
604,1835,trans_M2,001669,2,1,9,5,1.1766272,0.4487242274004947,0.8126757137002474
605,1489,trans_M2,000981,1,3,3,12,0.023406240000000002,1.597364197737929,0.8103852188689644
606,1802,trans_M2,001607,2,2,3,15,0.6108,1.0097063567237612,0.8102531783618806
607,300,trans_M1,000607,5,0,16,0,0.8975399599999999,0.7203159089476894,0.8089279344738447
608,1204,trans_M2,000427,4,0,4,1,1.0210528399999999,0.5935801953361233,0.8073165176680616
609,1753,trans_M2,001505,1,2,3,14,0.5692,1.0443042822655069,0.8067521411327534
610,2811,trans_M3,001633,1,3,8,5,0.7818,0.8314133411762292,0.8066066705881146
611,493,trans_M1,000981,1,3,4,11,0.01563744,1.597364197737929,0.8065008188689644
612,2291,trans_M3,000605,5,0,19,1,0.94701744,0.6653986080915324,0.8062080240457662
613,1744,trans_M2,001489,2,1,2,15,0.7534000000000001,0.8553017863573804,0.8043508931786902
614,314,trans_M1,000635,7,0,19,0,0.7068515200000001,0.9016617834977084,0.8042566517488543
615,1315,trans_M2,000645,6,0,16,0,0.70580804,0.9017253202809936,0.8037666801404968
616,336,trans_M1,000670,6,0,18,0,0.7103408000000001,0.8955304644797868,0.8029356322398935
617,376,trans_M1,000750,4,0,19,2,0.7073112,0.8978868797474429,0.8025990398737215
618,971,trans_M1,001948,2,2,10,4,0.85605616,0.7486738284184964,0.8023649942092481
619,923,trans_M1,001842,2,2,9,4,0.95878132,0.6457911401411689,0.8022862300705844
620,1814,trans_M2,001626,2,1,7,5,1.1579282800000001,0.4464471592186532,0.8021877196093267
621,2933,trans_M3,001886,3,2,7,4,0.768,0.8346449089162313,0.8013224544581157
622,1245,trans_M2,000505,1,5,5,16,0.03217088,1.5649699285145877,0.7985704042572939
623,853,trans_M1,001699,3,0,8,4,1.1579102000000001,0.4370437006492318,0.797476950324616
624,1400,trans_M2,000814,2,2,11,5,0.47104864,1.1237461166512497,0.7973973783256249
625,2939,trans_M3,001897,3,1,10,4,0.91062124,0.683056158165551,0.7968386990827755
626,1709,trans_M2,001416,5,1,11,15,0.38817316,1.202052454875923,0.7951128074379615
627,528,trans_M1,001059,2,3,5,11,0.39951299999999995,1.1867568430782127,0.7931349215391064
628,869,trans_M1,001731,3,0,9,4,1.04970776,0.5360689734934825,0.7928883667467412
629,2412,trans_M3,000843,2,0,9,4,0.9185135200000001,0.6670091546837754,0.7927613373418878
630,311,trans_M1,000632,5,0,18,1,0.56443228,1.0193817747775056,0.7919070273887527
631,2818,trans_M3,001644,2,1,10,6,1.1370552,0.44650308994652027,0.7917791449732602
632,320,trans_M1,000648,6,0,17,0,0.6925096799999999,0.8906663160670498,0.7915879980335249
633,524,trans_M1,001053,0,3,4,10,0.0,1.5810084640454303,0.7905042320227151
